,GW,Team_name,Players in,Players out,Immediate gain
0,1,Team Flair,,,0
1,1,Ted,,,0
2,1,Salah-y Cap,,,0
3,1,Quaranteam,,,0
4,1,Arteta-ley Teabags,,,0
5,1,Expected Toulouse,,,0
6,1,BlackBox XV,,,0
7,1,Stop the count 2.0,,,0
0,2,Team Flair,,,0
1,2,Ted,Andreas,McNeil,1
2,2,Salah-y Cap,Haaland,Kane,0
3,2,Quaranteam,,,0
4,2,Arteta-ley Teabags,,,0
5,2,Expected Toulouse,"Andreas, Haaland","Sancho, Jesus",-13
6,2,BlackBox XV,,,0
7,2,Stop the count 2.0,Haaland,Kane,-3
0,3,Team Flair,"Rodrigo, N.Williams","Fornals, Cash",11
1,3,Ted,Groß,Ødegaard,-10
2,3,Salah-y Cap,"Dasilva, Saliba","Ramsey, Dalot",8
3,3,Quaranteam,"R.Sessegnon, Martinelli","Perišić, Neto",-7
4,3,Arteta-ley Teabags,Dasilva,Bailey,-4
5,3,Expected Toulouse,Jesus,Darwin,2
6,3,BlackBox XV,"Martinelli, James, Zinchenko","Neto, Robertson, Digne",5
7,3,Stop the count 2.0,Dasilva,Bailey,-4
0,4,Team Flair,Schär,Koulibaly,1
1,4,Ted,"Dasilva, Kane","Foden, Mitrović",-3
2,4,Salah-y Cap,,,0
3,4,Quaranteam,"Patterson, Saliba, Salah, Gündogan, Kane, Mitrović, Rodrigo, De Bruyne, Son, Malacia, Walker, Zinchenko, Trippier, Sánchez","Malacia, Zinchenko, Son, De Bruyne, Mitrović, Archer, Luis Díaz, Mount, Salah, R.Sessegnon, Gabriel, Cancelo, Alexander-Arnold, Iversen",-10
4,4,Arteta-ley Teabags,"Iversen, Harrison","Ward, Dasilva",-1
5,4,Expected Toulouse,Saint-Maximin,Bruno Guimarães,9
6,4,BlackBox XV,,,0
7,4,Stop the count 2.0,,,0
0,5,Team Flair,,,0
1,5,Ted,,,0
2,5,Salah-y Cap,Rashford,Soucek,-4
3,5,Quaranteam,,,0
4,5,Expected Toulouse,,,0
5,5,BlackBox XV,"Dias, Haaland, Mitrović, Foden, Estupiñán, Emerson, Gabriel, Henderson, Groß","James, Greenwood, Archer, De Bruyne, Perišić, Zinchenko, Cancelo, Iversen, Mount",22
6,5,Arteta-ley Teabags,,,0
7,5,Stop the count 2.0,"Rodrigo, Saliba","Neto, Zinchenko",-1
0,6,Ted,,,0
1,6,Team Flair,"Bernardo, Martinelli","Rodrigo, Ødegaard",3
2,6,Salah-y Cap,,,0
3,6,Quaranteam,Rashford,Rodrigo,18
4,6,Arteta-ley Teabags,"James, Dalot, Sánchez, Gabriel, Luis Díaz, Ward, Groß, Andreas, Sterling, Veltman, Cucurella, Mitrović, Haaland","Cucurella, Veltman, Ramsdale, N.Williams, Maddison, Iversen, Harrison, Salah, Son, Justin, James, Archer, Greenwood",14
5,6,Expected Toulouse,"Isak, Dasilva","Archer, Ward-Prowse",1
6,6,BlackBox XV,,,0
7,6,Stop the count 2.0,Ward-Prowse,Rodrigo,2
0,7,Ted,Bailey,Dasilva,0
1,7,Team Flair,,,0
2,7,Salah-y Cap,Trippier,James,0
3,7,Quaranteam,Raya,Sánchez,0
4,7,Arteta-ley Teabags,,,0
5,7,Expected Toulouse,,,0
6,7,BlackBox XV,Trippier,Gabriel,0
7,7,Stop the count 2.0,,,0
